timestamp,close,signal_max,signal_ma,signal_bb
1622195400000.0,36002.05,0,0,0
1622195700000.0,35952.0,0,0,0
1622196300000.0,35745.01,0,0,0
1622196600000.0,36109.99,0,0,0
1622197200000.0,36294.61,0,0,0
1622197800000.0,36170.09,0,0,0
1622198100000.0,36226.59,0,0,0
1622198700000.0,35970.12,0,0,0
1622199000000.0,35930.01,0,0,0
1622199600000.0,35910.0,0,0,0
1622200200000.0,36032.53,0,0,0
1622200800000.0,35722.09,0,0,0
1622201100000.0,35589.3,0,0,0
1622201400000.0,35717.52,0,0,0
1622202000000.0,35271.27,0,0,1
1622202600000.0,35296.13,0,0,1
1622202900000.0,35374.31,0,0,0
1622203200000.0,35585.93,0,0,0
1622203500000.0,35744.59,0,0,0
1622203800000.0,36529.29,0,0,0
1622204100000.0,36283.69,0,0,0
1622204400000.0,36794.78,0,0,0
1622204700000.0,36712.71,0,0,0
1622205000000.0,36403.65,0,0,0
1622205300000.0,36472.81,0,0,0
1622205600000.0,36546.79,0,0,0
1622205900000.0,36407.2,0,0,0
1622206500000.0,36567.21,0,0,0
1622206800000.0,37183.03,0,0,0
1622207100000.0,37039.29,0,0,0
1622207400000.0,36879.34,0,1,0
1622207700000.0,36832.32,0,1,0
1622208000000.0,36712.55,0,1,0
1622208600000.0,36894.49,0,1,0
1622209200000.0,36901.66,0,1,0
1622209500000.0,37019.99,0,1,0
1622210100000.0,36824.83,0,1,0
1622210700000.0,36779.84,0,1,0
1622211300000.0,36654.14,0,1,0
1622211600000.0,36762.47,0,1,0
1622212200000.0,36722.6,0,1,0
1622212800000.0,36771.33,0,1,0
1622213700000.0,36586.0,0,1,0
1622214000000.0,36450.78,0,1,0
1622214300000.0,36671.97,0,1,0
1622214600000.0,36680.16,0,1,0
1622215200000.0,36773.45,0,1,0
1622215800000.0,36835.72,0,1,0
1622216400000.0,36944.74,0,1,0
1622216700000.0,36685.0,0,1,0
1622217300000.0,36741.5,0,1,0
1622217600000.0,36637.67,0,1,0
1622217900000.0,36445.96,0,1,0
1622218200000.0,36230.13,0,1,1
1622218500000.0,36100.0,0,1,1
1622218800000.0,36191.69,0,1,0
1622219100000.0,36188.89,0,1,0
1622219400000.0,36179.03,0,1,0
1622219700000.0,36132.15,0,1,0
1622220000000.0,36315.99,0,1,0
1622220600000.0,35824.93,0,1,1
1622221200000.0,35943.04,0,0,0
1622221500000.0,36179.49,0,0,0
1622221800000.0,35895.22,0,0,0
1622222100000.0,35964.48,0,0,0
1622222400000.0,36069.62,0,0,0
1622223000000.0,36030.27,0,0,0
1622223600000.0,36201.12,0,0,0
1622224200000.0,35977.76,0,0,0
1622224800000.0,35721.93,0,0,0
1622225100000.0,35802.98,0,0,0
1622225400000.0,35689.22,0,0,0
1622225700000.0,35608.43,0,0,1
1622226000000.0,35811.07,0,0,0
1622226300000.0,35888.95,0,0,0
1622226600000.0,36206.3,0,0,0
1622226900000.0,36305.37,0,0,0
1622227200000.0,36024.27,0,0,0
1622227800000.0,36190.02,0,0,0
1622228400000.0,36480.0,0,0,0
1622229300000.0,36146.95,0,0,0
1622229600000.0,35824.05,0,0,0
1622229900000.0,36074.63,0,0,0
1622230200000.0,35743.05,0,0,0
1622230500000.0,35697.4,0,0,0
1622230800000.0,35777.75,0,0,0
1622231400000.0,35799.22,0,0,0
1622232000000.0,35980.5,0,0,0
1622232600000.0,36187.89,0,0,0
1622233200000.0,35900.83,0,0,0
1622233800000.0,35495.93,0,0,0
1622234100000.0,35460.33,0,0,0
1622234400000.0,35460.58,0,0,0
1622234700000.0,35369.34,0,0,0
1622235000000.0,35291.73,0,0,0
1622235300000.0,35121.9,0,0,0
1622235900000.0,34922.42,0,0,1
1622236200000.0,35016.43,0,0,0
1622236500000.0,35157.64,0,0,0
1622236800000.0,34904.36,0,0,0
1622237100000.0,34909.42,0,0,0
1622237400000.0,34998.63,0,0,0
1622238000000.0,35001.08,0,0,0
1622238600000.0,35046.99,0,0,0
1622239200000.0,35332.57,0,0,0
1622239800000.0,35437.75,0,0,0
1622240100000.0,35209.58,0,0,0
1622240400000.0,34893.88,0,0,0
1622240700000.0,34885.58,0,0,0
1622241000000.0,34991.66,0,0,0
1622241300000.0,34933.02,0,0,0
1622241900000.0,34964.95,0,0,0
1622242500000.0,35206.88,0,0,0
1622243100000.0,35285.02,0,0,0
1622243700000.0,35343.49,0,0,0
1622244300000.0,35677.3,0,0,0
1622244900000.0,35629.61,0,0,0
1622245200000.0,35697.54,0,0,0
1622245800000.0,35729.6,0,0,0
1622246700000.0,35853.37,0,0,0
1622247300000.0,35899.99,0,0,0
1622247900000.0,35807.82,0,0,0
1622248500000.0,36024.49,0,0,0
1622249400000.0,36271.96,0,0,0
1622249700000.0,36398.87,0,0,0
