is_long,price,atr,volume,long_liquidations,short_liquidations,minute_of_session,target_meta_label,sma_trend_1h
0,105042.0,314.64285714285717,31.626224,0.104114,0.104114,255,1,1
0,106773.0,218.42857142857142,36.90426,1.239078,1.239078,255,0,1
0,105279.0,170.21428571428572,89.10868400000001,0.052322,0.052322,250,1,0
0,107000.0,210.85714285714286,46.27948,0.3425559999999999,0.3425559999999999,255,1,0
0,106824.0,175.35714285714286,10.769532,0.121514,0.121514,250,1,1
0,106496.0,151.14285714285714,43.880828,0.020314,0.020314,245,1,1
0,108599.0,191.71428571428572,35.372755999999995,2.33606,2.33606,245,0,1
0,118342.0,639.6428571428571,138.7092,7.024582,7.024582,255,1,1
0,118700.0,171.42857142857142,27.200676,0.095394,0.095394,245,1,0
0,118281.0,27.285714285714285,10.523856,0.0123099999999999,0.0123099999999999,250,1,1
0,116062.0,340.35714285714283,104.430328,1.182392,1.182392,245,1,0
0,118969.0,136.57142857142858,24.761232,0.392336,0.392336,245,1,0
0,114593.0,297.7142857142857,88.77627199999999,1.330908,1.330908,255,0,1
0,114215.0,279.42857142857144,17.683011999999998,0.061984,0.061984,250,1,1
0,116611.0,196.07142857142858,104.973684,7.380898,7.380898,250,1,1
0,120194.0,370.7857142857143,117.980824,1.518284,1.518284,255,1,1
0,119436.0,263.92857142857144,216.539992,1.007974,1.007974,245,1,1
0,118304.0,79.57142857142857,8.347588,0.0125599999999999,0.0125599999999999,255,1,1
0,115558.0,129.5,47.854636,12.89999,12.89999,245,1,1
0,113484.0,319.85714285714283,43.777816,0.028634,0.028634,255,1,1
0,111146.0,56.857142857142854,11.014528,0.0216819999999999,0.0216819999999999,250,1,1
0,112832.0,154.5,25.168712,0.022852,0.022852,255,1,1
0,113916.0,276.7857142857143,43.048788,0.235954,0.235954,250,0,1
0,117200.0,164.78571428571428,107.47542,0.030246,0.030246,250,0,0
0,115937.0,17.642857142857142,7.946196,0.00377,0.00377,245,1,1
0,115651.0,27.428571428571427,7.598632,0.018674,0.018674,245,1,0
0,112930.0,98.0,30.944716,0.5134559999999999,0.5134559999999999,245,1,1
0,109541.0,60.857142857142854,4.479352,0.0005399999999999,0.0005399999999999,255,0,1
0,113443.0,251.5,168.998436,0.277382,0.277382,255,1,1
0,123359.0,92.92857142857143,24.58048,0.083602,0.083602,250,1,1
0,122207.0,360.64285714285717,125.302104,1.090818,1.090818,250,1,1
0,114727.0,583.0,356.206472,0.4120199999999999,0.4120199999999999,245,1,1
0,105758.0,387.57142857142856,152.858652,0.450222,0.450222,245,1,1
0,109401.0,330.2142857142857,108.29708,0.421002,0.421002,250,1,1
0,113760.0,274.7857142857143,142.5518,1.0793,1.0793,255,1,1
0,107943.0,196.5,76.330344,0.7254959999999999,0.7254959999999999,245,1,1
0,103896.0,210.21428571428572,52.31498800000001,0.095374,0.095374,255,1,0
0,96122.0,128.78571428571428,31.396096,0.0533139999999999,0.0533139999999999,250,1,1
0,86975.0,236.71428571428572,28.174732,0.044254,0.044254,255,0,1
0,87431.0,141.42857142857142,39.398880000000005,0.415828,0.415828,250,0,1
0,89672.0,84.78571428571429,24.962288,0.164294,0.164294,255,0,1
0,88055.0,219.28571428571428,57.651228,0.035762,0.035762,250,1,1
0,87578.0,97.35714285714286,38.176068,0.049462,0.049462,255,0,1
0,88884.0,97.14285714285714,27.367908,0.0969339999999999,0.0969339999999999,250,1,1
0,91164.0,72.0,8.059936,0.224086,0.224086,245,1,1
0,92117.0,259.7857142857143,111.74024,4.538794,4.538794,245,0,1
0,95348.0,40.5,8.975916,0.347206,0.347206,245,0,1
0,93010.0,80.78571428571429,3.467036,0.040662,0.040662,255,1,1
0,87913.0,104.78571428571429,17.382136,0.055986,0.055986,245,1,1
0,87860.0,112.92857142857143,6.685035999999999,0.075466,0.075466,255,1,0
0,90328.0,199.07142857142858,188.473564,0.44966,0.44966,255,1,1
0,82695.0,290.7857142857143,8.43098,0.038318,0.038318,255,0,0
0,67259.0,261.14285714285717,112.07754400000002,0.4815439999999999,0.4815439999999999,245,1,1
