is_long,price,atr,volume,long_liquidations,short_liquidations,minute_of_session,trvo_relative_volume,trvo_buy_pressure,trvo_oscillator,target_high_tp,sma_trend_1h
1,112567.0,183.57142857142858,92.052408,0.027082,0.027082,250,1.3263204523090213,0.8188976377952756,-0.1426424214140606,1,0
1,110843.0,484.7857142857143,185.64144,0.2364939999999999,0.2364939999999999,255,6.792087179809271,0.4988610478359909,-0.08800915124620945,0,0
1,109307.0,40.57142857142857,15.673787999999998,0.0058119999999999,0.0058119999999999,245,0.3506111880945379,0.8035714285714285,-0.02483679744666111,0,0
1,124655.0,421.2857142857143,162.837952,0.620968,0.620968,255,1.9099103669496433,0.6138613861386139,-0.03274680733920312,1,0
1,122233.0,496.35714285714283,200.48678,2.076138,2.076138,255,1.7210000411808244,0.909556313993174,-0.0416719806696268,1,0
1,123006.0,466.85714285714283,97.40138,5.7573,5.7573,255,0.860834256065645,0.9557739557739559,0.007342587891792555,0,0
1,112132.0,289.2857142857143,28.52026,0.121692,0.121692,250,0.1557378278263676,0.7916666666666666,-0.047000619248726144,0,0
1,106836.0,114.57142857142857,14.63802,0.007222,0.007222,250,0.13304878371781784,0.5596330275229358,-0.11372478242558345,0,0
1,108416.0,308.2857142857143,499.164512,1.138664,1.138664,245,8.507626826368114,0.9299221357063404,-0.1322625794766072,0,1
1,114922.0,265.2857142857143,158.450268,0.087018,0.087018,250,1.3128548648154512,0.9967845659163986,-0.07476409428833744,1,0
1,113004.0,297.57142857142856,42.169184,0.102766,0.102766,250,0.4757571631288292,0.5027027027027027,-0.17119365233375894,0,0
1,107822.0,541.7142857142857,238.603824,1.480016,1.480016,255,1.5610882309045493,0.8593073593073594,-0.04589898891133848,0,0
1,109777.0,327.42857142857144,94.060976,0.01801,0.01801,245,0.527593745319706,0.7083333333333334,-0.09160565574564496,1,0
1,109903.0,126.42857142857143,6.43774,0.029718,0.029718,255,0.03871956131936429,0.984375,-0.10759364866657317,1,0
1,102386.0,335.92857142857144,78.659644,0.09833,0.09833,245,1.7791335147809433,1.0,-0.06169804124812103,1,0
1,95353.0,208.35714285714286,42.15158,0.002672,0.002672,255,1.3383986586752852,0.9906542056074766,-0.06392005502836753,0,0
1,91185.0,204.85714285714286,62.895096,0.39376,0.39376,250,1.1475853651131371,0.23097826086956522,-0.029335798630799464,1,0
1,91475.0,252.42857142857142,34.605452,0.245954,0.245954,250,0.5863662718234385,0.7738095238095238,-0.09519112111254613,1,0
1,91722.0,484.57142857142856,128.886472,0.085416,0.085416,255,3.1856780871797477,0.7251655629139073,-0.017336041965962938,0,0
1,87016.0,271.57142857142856,337.107996,0.0304759999999999,0.0304759999999999,255,4.725831975531939,0.7543859649122807,-0.17152260260412688,1,0
1,90503.0,322.57142857142856,227.251336,2.287972,2.287972,255,7.005206623250088,0.8916408668730651,-0.04889965683902135,0,0
1,90264.0,235.42857142857142,70.496056,0.15592,0.15592,255,1.0832856968292406,0.6538461538461539,-0.14271073061758438,1,0
1,90018.0,143.57142857142858,60.816892,0.03698,0.03698,245,1.8128236914124283,0.6197183098591549,0.0032590713287066093,1,0
1,89430.0,102.14285714285714,15.416552,0.01373,0.01373,250,0.5864798560360678,0.8481675392670157,-0.02233621390407743,1,0
1,87051.0,549.5714285714286,185.3552,2.6243,2.6243,245,9.95124287277101,0.8070175438596491,-0.07756098536811551,0,0
1,87888.0,268.14285714285717,19.447936,0.002882,0.002882,250,0.2534837534209818,0.7941176470588236,0.014246650705189927,0,0
1,89846.0,167.28571428571428,112.094788,0.00086,0.00086,255,0.8042320615697612,0.7730061349693251,-0.04619111830619212,1,0
1,87691.0,275.57142857142856,51.38444,0.335054,0.335054,250,0.7903322306722917,0.8326530612244897,0.030831328814103207,0,0
1,87186.0,145.71428571428572,40.63486,0.004774,0.004774,245,0.6345764609566801,0.9916666666666666,-0.058872823949683795,1,0
1,87423.0,52.285714285714285,1.389448,0.0658359999999999,0.0658359999999999,245,0.025208419168738488,0.900990099009901,-0.001813614807249373,0,1
1,93681.0,71.78571428571429,12.479444,0.096312,0.096312,250,0.5692370068829355,0.6341463414634146,-0.11243340231169904,1,0
1,90807.0,31.785714285714285,3.82162,0.016654,0.016654,255,0.12773729093138833,0.5263157894736842,-0.032910289000619375,1,0
1,96717.0,169.14285714285714,18.372904,0.140772,0.140772,245,0.5791439871124423,0.5461538461538462,-0.1022020388498802,0,0
1,95425.0,104.5,36.728952,0.160628,0.160628,250,1.2856296180552491,0.8046875,-0.175245448896817,1,0
1,89601.0,303.5,100.017796,0.260216,0.260216,255,5.457492948627684,0.302158273381295,-0.09384139641886446,0,0
