timestamp,open,high,low,close,volume
1641161224912,47121.07,47253.82,47095.0,47236.21,2119.537
1641162763127,47236.39,47400.0,47198.3,47363.83,2114.76
1641163509990,47363.62,47424.28,47227.16,47424.28,2113.557
1641164886084,47422.49,47469.46,47263.33,47465.31,2111.099
1641166266891,47465.31,47465.31,47256.11,47256.12,2112.381
1641168038191,47256.11,47288.28,47140.76,47167.92,2117.571
1641168915366,47167.93,47258.99,47061.25,47125.31,2121.287
1641170482896,47122.21,47202.95,47027.58,47074.72,2123.124
1641172411045,47073.83,47095.59,46935.08,47040.49,2126.065
1641173595906,47040.0,47137.75,46961.09,47093.75,2126.151
1641175433657,47093.76,47096.7,46869.66,46876.68,2130.158
1641176182193,46876.14,47045.4,46875.28,46928.27,2128.903
1641177929450,46927.41,46983.13,46850.0,46909.05,2130.189
1641178351407,46909.05,47100.0,46909.05,47039.99,2128.49
1641179288067,47040.0,47040.0,46871.22,46946.5,2130.467
1641180272840,46946.51,46986.85,46775.02,46789.47,2133.831
1641181238208,46789.47,46835.32,46717.26,46808.55,2137.502
1641182031188,46808.56,46898.0,46750.0,46898.0,2135.189
1641183342697,46898.0,46944.43,46817.86,46835.12,2133.549
1641185445627,46835.36,46884.93,46782.51,46793.53,2135.466
1641186823411,46793.53,47039.45,46775.0,46999.36,2132.906
1641187678935,46999.35,47090.8,46931.29,47090.8,2126.363
1641188234549,47090.85,47217.37,47055.16,47167.47,2121.312
1641188726404,47167.48,47178.77,47012.18,47052.09,2124.489
1641190410390,47052.1,47070.0,46926.62,47061.83,2127.235
1641192219641,47061.98,47066.21,46857.38,46902.2,2130.854
1641193741889,46902.19,47065.47,46883.67,47062.68,2130.416
1641196323186,47061.68,47133.97,47008.27,47080.81,2124.563
1641197529555,47083.47,47109.92,46930.03,46956.99,2127.515
1641199303743,46956.99,47100.0,46921.86,47002.95,2126.163
1641201109074,47002.96,47037.35,46800.0,46821.67,2133.487
1641201585493,46821.0,46892.35,46777.02,46790.07,2134.299
1641202365558,46790.0,46935.18,46777.0,46916.76,2134.723
1641203375097,46916.76,47090.0,46912.35,47062.12,2127.404
1641204007129,47062.11,47200.0,47030.69,47079.97,2124.072
1641204460288,47079.97,47249.78,47055.58,47212.3,2119.692
1641204826366,47212.32,47212.32,47095.0,47129.99,2119.604
1641205664868,47130.0,47200.0,47019.67,47165.13,2124.323
1641206686801,47165.17,47243.61,47100.0,47222.18,2119.85
1641207737709,47222.19,47331.99,47185.6,47262.68,2111.829
1641208311899,47262.68,47362.12,47250.0,47336.74,2115.412
1641209231767,47336.75,47384.06,47224.85,47292.57,2116.495
1641210375220,47294.0,47436.26,47274.02,47365.21,2112.367
1641211234391,47365.21,47440.34,47240.4,47433.58,2112.408
1641211773681,47433.1,47571.82,47385.8,47515.95,2106.386
1641211949494,47511.34,47575.22,47434.58,47501.01,2104.526
1641212343419,47501.0,47519.9,47304.75,47350.0,2101.279
1641212610731,47350.0,47420.95,47208.49,47216.04,2122.205
1641213487635,47216.69,47304.71,47200.13,47215.01,2111.7
1641214358896,47215.0,47288.98,47170.01,47259.05,2123.161
1641215049751,47259.04,47356.2,47220.0,47316.59,2114.979
1641216273848,47316.58,47327.22,47204.69,47244.6,2114.924
1641217679139,47244.7,47265.0,47089.2,47154.41,2120.544
1641218471511,47154.3,47200.0,47016.11,47019.84,2122.929
1641218920788,47019.83,47065.53,46908.67,47037.58,2117.513
1641219065403,47037.59,47110.74,46960.0,47102.85,2136.364
1641219833181,47102.72,47249.99,47075.0,47249.99,2108.527
1641220632178,47250.0,47290.0,47120.91,47120.91,2130.429
1641221157717,47120.87,47120.87,46900.0,46900.01,2096.322
1641221293262,46900.0,46947.13,46810.0,46899.69,2166.004
1641221417228,46899.68,46989.96,46781.35,46820.26,2133.389
1641221621239,46820.06,46907.98,46793.13,46858.0,2134.477
1641222003952,46857.77,46985.25,46825.0,46825.0,2131.567
1641222494718,46825.0,46906.14,46777.0,46896.63,2135.648
1641222812081,46896.2,47020.0,46852.0,46865.39,2129.932
1641223386659,46865.37,46973.3,46832.0,46863.0,2132.264
1641224067823,46863.17,46951.05,46795.1,46800.01,2130.68
