open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1665882000000,-0.00050900,-0.00010987,-0.00074467,-0.00042445,0,1665885599999,0,720,0,0,0
1665885600000,-0.00040260,-0.00030360,-0.00068411,-0.00034835,0,1665889199999,0,720,0,0,0
1665889200000,-0.00036245,-0.00024767,-0.00072503,-0.00056824,0,1665892799999,0,720,0,0,0
1665892800000,-0.00054134,-0.00016205,-0.00071100,-0.00039153,0,1665896399999,0,720,0,0,0
1665896400000,-0.00040292,-0.00002246,-0.00083511,-0.00057030,0,1665899999999,0,720,0,0,0
1665900000000,-0.00056190,-0.00029637,-0.00084859,-0.00050240,0,1665903599999,0,720,0,0,0
1665903600000,-0.00050621,-0.00032713,-0.00063132,-0.00050860,0,1665907199999,0,720,0,0,0
1665907200000,-0.00050895,0.00039553,-0.00064496,-0.00034563,0,1665910799999,0,720,0,0,0
1665910800000,-0.00034504,-0.00033071,-0.00076680,-0.00060720,0,1665914399999,0,720,0,0,0
1665914400000,-0.00059921,-0.00028157,-0.00095797,-0.00045778,0,1665917999999,0,720,0,0,0
1665918000000,-0.00047101,-0.00017583,-0.00085793,-0.00040820,0,1665921599999,0,720,0,0,0
1665921600000,-0.00039733,-0.00030887,-0.00074713,-0.00037969,0,1665925199999,0,720,0,0,0
1665925200000,-0.00037834,-0.00033779,-0.00065846,-0.00052139,0,1665928799999,0,720,0,0,0
1665928800000,-0.00052323,-0.00030733,-0.00065179,-0.00044611,0,1665932399999,0,720,0,0,0
1665932400000,-0.00043767,0.00021462,-0.00063249,-0.00042331,0,1665935999999,0,720,0,0,0
1665936000000,-0.00045375,-0.00029247,-0.00103567,-0.00055019,0,1665939599999,0,720,0,0,0
1665939600000,-0.00057319,0.00027168,-0.00068229,-0.00041108,0,1665943199999,0,720,0,0,0
1665943200000,-0.00038934,-0.00023669,-0.00066851,-0.00051821,0,1665946799999,0,720,0,0,0
1665946800000,-0.00055326,0.00103588,-0.00156626,-0.00020102,0,1665950399999,0,720,0,0,0
1665950400000,-0.00028539,0,-0.00097627,-0.00047817,0,1665953999999,0,720,0,0,0
1665954000000,-0.00053004,-0.00015843,-0.00137086,-0.00047295,0,1665957599999,0,720,0,0,0
1665957600000,-0.00044983,0.00041377,-0.00112990,-0.00053986,0,1665961199999,0,720,0,0,0
