timestamp,sma_50
1580619600000.0,9383.2524
1580625900000.0,9384.9282
1580633400000.0,9387.5706
1580638800000.0,9389.0914
1580645100000.0,9389.681
1580649600000.0,9391.4728
1580654700000.0,9394.1412
1580661000000.0,9397.6574
1580672100000.0,9398.72
1580682900000.0,9398.3774
1580687400000.0,9399.4886
1580691900000.0,9403.6278
1580694000000.0,9403.5198
1580695500000.0,9404.153
1580699100000.0,9403.513
1580706300000.0,9404.9482
1580717400000.0,9403.497
1580725500000.0,9401.0254
1580731200000.0,9398.8752
1580740500000.0,9394.6756
1580745300000.0,9390.0356
1580748600000.0,9384.3536
1580754000000.0,9380.5844
1580763300000.0,9377.3624
1580775300000.0,9374.1538
1580781600000.0,9371.2488
1580792100000.0,9369.6956
1580798700000.0,9367.5596
1580806500000.0,9363.5452
1580809800000.0,9360.7436
1580814600000.0,9359.7914
1580816400000.0,9356.9434
1580820000000.0,9352.8988
1580823600000.0,9350.972
1580829300000.0,9348.2972
1580836200000.0,9343.1822
1580847900000.0,9339.9204
1580862900000.0,9335.1516
1580872500000.0,9331.7894
1580882400000.0,9328.0228
1580889900000.0,9327.1888
1580898600000.0,9327.7288
1580900700000.0,9329.203
1580904300000.0,9331.2674
1580905200000.0,9331.7302
1580910000000.0,9333.2344
1580913900000.0,9336.2724
1580918700000.0,9341.8412
1580920500000.0,9348.423
1580924700000.0,9356.068
1580926800000.0,9361.7444
1580927400000.0,9367.715
1580929800000.0,9372.9664
1580933400000.0,9378.0112
1580939700000.0,9383.0638
1580944800000.0,9385.8628
1580948400000.0,9389.2452
1580952300000.0,9392.0682
1580959500000.0,9397.6284
1580967000000.0,9404.336
1580974200000.0,9409.0356
1580978400000.0,9411.3188
1580986200000.0,9418.2806
1580991300000.0,9426.8594
1580993700000.0,9435.0982
1580995800000.0,9442.3362
1580997000000.0,9451.0872
1580998800000.0,9460.7484
1581001200000.0,9469.7586
1581004200000.0,9479.472
1581008700000.0,9488.2584
1581013500000.0,9498.461
1581021300000.0,9506.2746
1581029400000.0,9515.8798
1581034200000.0,9526.2794
1581040200000.0,9536.771
1581045900000.0,9546.8952
1581054000000.0,9558.2254
1581062700000.0,9571.091
1581070800000.0,9583.7384
1581076200000.0,9593.7954
1581079500000.0,9607.4316
1581086100000.0,9621.2112
1581092100000.0,9632.4666
1581103800000.0,9644.6136
1581115500000.0,9657.094
1581126900000.0,9666.8648
1581132000000.0,9677.6266
1581139200000.0,9687.9054
1581150000000.0,9699.5176
1581156300000.0,9709.4524
1581161100000.0,9717.9512
1581169500000.0,9725.9644
1581173100000.0,9733.265
1581179100000.0,9741.675
1581185100000.0,9750.1424
1581196500000.0,9757.3922
1581199800000.0,9765.4404
1581208800000.0,9774.1278
1581216900000.0,9779.9792
1581219000000.0,9788.973
1581221700000.0,9797.4452
1581227400000.0,9806.6086
1581234600000.0,9814.934
1581239700000.0,9823.9306
1581245400000.0,9835.1092
1581252000000.0,9844.8414
1581260100000.0,9854.8474
1581263100000.0,9863.5568
1581269100000.0,9871.5152
1581280200000.0,9881.4414
1581290700000.0,9891.7854
1581295500000.0,9899.1636
1581300900000.0,9904.7516
1581306600000.0,9910.0746
1581312900000.0,9912.5012
1581314400000.0,9915.6062
1581315300000.0,9918.458
1581317400000.0,9922.1308
1581321900000.0,9925.0678
1581325200000.0,9927.1294
1581327300000.0,9928.3536
