timestamp,btc_short_liquidations
1615485300000.0,4766.39
1615485900000.0,13508.7
1615486500000.0,54569.33
1615487100000.0,13091.98
1615487700000.0,71645.49
1615488000000.0,21807.03
1615488300000.0,17721.0
1615488600000.0,10744.28
1615488900000.0,14044.8
1615489500000.0,26197.99
1615490400000.0,14440.32
1615491300000.0,10001.81
1615492200000.0,21685.67
1615492800000.0,38971.46
1615493100000.0,16633.99
1615493700000.0,25632.19
1615494300000.0,735.36
1615494900000.0,27404.37
1615495500000.0,6462.94
1615496400000.0,41003.82
1615496700000.0,10387.41
1615497000000.0,16925.13
1615497300000.0,13349.2
1615497900000.0,11191.88
1615498500000.0,4972.13
1615499100000.0,17763.79
1615499400000.0,1003.32
1615500300000.0,23585.26
1615501200000.0,2064.07
1615501500000.0,13154.43
1615502100000.0,12141.81
1615502700000.0,15101.67
1615503300000.0,45236.07
1615503900000.0,12400.75
1615504200000.0,12170.06
1615504800000.0,11244.15
1615505400000.0,12007.96
1615506000000.0,13849.73
1615506900000.0,29018.96
1615507500000.0,21217.35
1615507800000.0,5608.93
1615508400000.0,16512.16
1615508700000.0,17505.54
1615509000000.0,22771.47
1615509600000.0,14298.71
1615509900000.0,57157.42
1615510500000.0,12274.27
1615511100000.0,15229.29
1615511700000.0,11061.19
1615512300000.0,19935.83
1615513200000.0,12726.19
1615513800000.0,19710.9
1615514400000.0,5760.67
1615515000000.0,11680.43
1615515900000.0,15584.8
1615517100000.0,10951.02
1615518300000.0,500.87
1615519500000.0,9041.86
1615520400000.0,947.74
1615521600000.0,10431.43
1615522200000.0,10492.32
1615522500000.0,12492.3
1615523400000.0,8106.37
1615524600000.0,5879.75
1615526100000.0,14715.93
1615526700000.0,17788.5
1615527300000.0,20422.25
1615527900000.0,24393.24
1615528800000.0,9248.84
1615529400000.0,10067.98
1615530300000.0,12699.21
1615531500000.0,2078.84
1615532400000.0,12179.57
1615533000000.0,15665.68
1615533900000.0,28358.91
1615534500000.0,15257.53
1615535700000.0,12407.03
1615536300000.0,12825.27
1615536600000.0,17187.9
1615537200000.0,25988.34
1615538100000.0,40865.98
1615539000000.0,14920.84
1615539600000.0,24908.77
1615540200000.0,10383.9
1615541400000.0,11571.3
1615542300000.0,11688.13
1615542900000.0,15479.11
1615543800000.0,16461.98
1615544400000.0,13134.73
1615544700000.0,37116.0
1615545300000.0,21854.79
1615545600000.0,66305.7
1615546200000.0,14207.1
1615546800000.0,26326.98
1615547100000.0,6816.33
1615547400000.0,11563.11
1615548000000.0,13069.52
1615548900000.0,11624.6
1615549500000.0,12168.21
1615549800000.0,11525.7
1615550400000.0,34352.97
1615551000000.0,15071.52
1615551600000.0,13862.29
1615552500000.0,29782.08
1615553100000.0,10479.28
1615554000000.0,22318.87
1615554300000.0,34433.85
1615554600000.0,29430.26
1615554900000.0,41660.86
1615555200000.0,11237.32
1615555500000.0,34107.61
1615555800000.0,9757.89
1615556100000.0,15935.42
1615556400000.0,17913.59
1615556700000.0,46233.67
1615557000000.0,14123.3
1615557600000.0,18331.8
1615558200000.0,11085.54
1615558800000.0,62452.78
1615559400000.0,23667.84
1615559700000.0,12723.94
1615560300000.0,28995.26
1615561200000.0,61534.63
1615561800000.0,14406.83
1615562400000.0,12359.65
1615563000000.0,39131.58
1615563900000.0,127686.64
1615564200000.0,13640.55
1615564500000.0,13282.31
1615565100000.0,35086.76
1615565700000.0,16177.72
1615566000000.0,41911.1
1615566600000.0,15386.45
1615567200000.0,42.66
1615567800000.0,11739.04
1615568400000.0,2316.71
1615569000000.0,4445.47
1615569600000.0,34309.94
1615570500000.0,11462.13
1615571100000.0,13779.03
1615571400000.0,4085.22
1615572000000.0,62566.0
1615572600000.0,13931.07
1615573200000.0,12536.76
1615574100000.0,27389.93
1615575300000.0,16262.45
1615575900000.0,11975.13
1615577100000.0,22672.65
1615577400000.0,42223.87
1615578000000.0,15143.19
1615579200000.0,18194.46
1615579800000.0,6691.08
1615580100000.0,19566.75
1615581000000.0,11448.91
1615581900000.0,20242.72
1615583100000.0,14343.14
1615583700000.0,10683.22
1615584300000.0,111177.69
1615584900000.0,12158.65
1615585500000.0,1711.67
1615586700000.0,48558.16
1615587900000.0,13226.75
1615588800000.0,10319.22
1615589700000.0,5512.99
1615590900000.0,10913.18
1615591500000.0,10244.38
1615592700000.0,25084.19
1615593900000.0,18037.7
1615594500000.0,11697.81
1615595100000.0,11689.15
1615595700000.0,11550.63
1615596600000.0,14830.23
1615597800000.0,13825.63
1615598400000.0,20288.88
1615599000000.0,10694.9
1615599600000.0,30964.23
1615600500000.0,14929.49
1615601700000.0,24793.74
1615602900000.0,8598.96
1615604100000.0,3814.83
1615605000000.0,2617.47
1615605900000.0,3536.67
1615606800000.0,13435.36
1615608300000.0,11056.91
1615609200000.0,10912.37
1615610400000.0,50181.81
1615611600000.0,512.64
1615612200000.0,12018.91
1615613400000.0,14236.84
1615614900000.0,11240.65
1615616400000.0,13917.08
1615617900000.0,11371.53
1615618800000.0,10067.71
1615620000000.0,24863.94
1615621200000.0,8622.09
1615622100000.0,90487.06
1615622700000.0,399.54
1615623300000.0,17301.94
1615624200000.0,11880.07
1615624800000.0,32178.03
1615625700000.0,11563.1
1615626900000.0,25739.61
1615628100000.0,10572.7
1615629000000.0,22779.82
1615629900000.0,42373.09
1615630200000.0,1120505.39
1615630500000.0,11234.3
1615630800000.0,59556.95
1615631100000.0,22210.66
1615631400000.0,32048.18
1615631700000.0,22166.36
1615632000000.0,3805.69
1615632300000.0,11163.26
1615632600000.0,9138.01
1615632900000.0,174894.31
1615633500000.0,16628.05
1615633800000.0,4691.36
1615634400000.0,20510.6
1615634700000.0,28479.99
1615635000000.0,33369.86
1615635300000.0,14929.27
1615635600000.0,9859.8
1615636200000.0,16307.92
1615636500000.0,39411.76
1615637100000.0,24828.74
1615637700000.0,122479.78
1615638300000.0,13510.79
1615638600000.0,13222.42
1615639200000.0,28303.21
1615639800000.0,15363.89
1615640400000.0,12269.44
1615640700000.0,15522.36
1615641300000.0,10759.89
1615641600000.0,13060.49
1615642200000.0,9406.87
1615642800000.0,6195.93
1615643400000.0,5974.29
1615644000000.0,11026.43
1615644900000.0,19449.47
1615646100000.0,10821.58
1615647000000.0,140.44
1615647900000.0,6143.31
1615649100000.0,17974.96
1615650000000.0,7735.36
1615650600000.0,24025.07
1615651500000.0,13392.97
1615652700000.0,7301.71
1615653300000.0,23841.86
1615654200000.0,11533.58
1615655100000.0,30341.95
1615656300000.0,11154.36
1615656900000.0,7129.29
1615657500000.0,29422.27
1615658100000.0,796.62
1615658400000.0,15322.0
1615659000000.0,11672.84
1615659600000.0,5115.83
1615660500000.0,10611.57
1615661700000.0,14060.59
1615662900000.0,17375.61
1615663800000.0,58130.72
1615664400000.0,1639.26
1615664700000.0,20412.72
1615665300000.0,8023.87
1615665900000.0,78460.96
1615666500000.0,17947.55
1615666800000.0,11111.56
1615667100000.0,88494.57
1615667700000.0,11214.88
1615668000000.0,15306.17
1615668300000.0,13543.3
1615668600000.0,23885.72
1615669200000.0,12880.28
1615669800000.0,29131.05
1615670400000.0,16462.92
1615671000000.0,17569.74
1615671600000.0,20755.46
1615672200000.0,14801.05
1615673100000.0,10434.42
1615673700000.0,18945.25
1615674900000.0,10171.57
1615676100000.0,15210.64
1615677300000.0,10934.64
1615677900000.0,6522.96
1615678800000.0,10341.34
1615679400000.0,17905.77
1615680300000.0,11803.58
1615680900000.0,18848.19
1615681500000.0,13847.06
1615682400000.0,11947.52
1615683300000.0,11585.25
1615683900000.0,15110.94
1615684500000.0,11166.33
1615685100000.0,18589.8
1615686000000.0,8410.4
1615687500000.0,10512.62
1615688700000.0,9013.85
1615690200000.0,22050.23
1615691400000.0,11104.01
1615692600000.0,10701.42
1615693800000.0,14442.52
1615694700000.0,13929.29
1615695900000.0,10077.66
1615697400000.0,12165.06
1615698900000.0,10566.1
1615700100000.0,10432.95
1615701600000.0,15014.75
1615702500000.0,2923.08
1615703100000.0,14335.63
1615703700000.0,8574.13
1615704900000.0,13189.88
1615706400000.0,6628.81
1615707900000.0,13678.83
1615708800000.0,17264.49
1615709100000.0,22985.92
1615709700000.0,5810.52
1615710600000.0,5450.71
1615711500000.0,14120.34
1615713000000.0,881.14
1615714200000.0,5435.69
1615715100000.0,12955.5
