timestamp,btc_long_liquidations
1631013600000.0,13337.33
1631014200000.0,22910.74
1631015100000.0,14637.21
1631016000000.0,15333.4
1631016600000.0,31455.95
1631017500000.0,15762.99
1631017800000.0,15392.79
1631018100000.0,1076.44
1631018700000.0,12567.23
1631019600000.0,8409.74
1631020500000.0,11283.36
1631021400000.0,31422.76
1631022000000.0,4178.2
1631022600000.0,12712.73
1631022900000.0,18421.42
1631023200000.0,48200.44
1631023500000.0,8074.0
1631023800000.0,21530.24
1631024100000.0,45981.18
1631024400000.0,42584.74
1631024700000.0,64134.91
1631025000000.0,15136.15
1631025300000.0,4961.99
1631025600000.0,60479.74
1631025900000.0,1507753.2
1631026200000.0,73484.62
1631026500000.0,1384263.95
1631026800000.0,98425.34
1631027100000.0,8219733.7
1631027400000.0,95083.65
1631027700000.0,72459.87
1631028000000.0,102834.43
1631028300000.0,176191.41
1631028600000.0,37818.04
1631028900000.0,24831.07
1631029200000.0,51227.64
1631029500000.0,314672.94
1631029800000.0,127123.89
1631030100000.0,37647.33
1631030400000.0,109084.32
1631030700000.0,31593.37
1631031000000.0,32106.1
1631031300000.0,15949.65
1631031600000.0,46383.11
1631031900000.0,15203.32
1631032200000.0,3636.89
1631032500000.0,12895.45
1631032800000.0,17887.09
1631033100000.0,2707.21
1631033400000.0,13985.67
1631033700000.0,13265.21
1631034000000.0,32359.65
1631034300000.0,11548.3
1631034600000.0,15497.43
1631035200000.0,107947.29
1631035500000.0,66413.74
1631035800000.0,19505.8
1631036100000.0,2214.31
1631036400000.0,12528.95
1631037000000.0,46004.56
1631037600000.0,11702.8
1631037900000.0,12005.25
1631038200000.0,42199.38
1631038500000.0,125283.55
1631038800000.0,17040.93
1631039100000.0,13063.24
1631039400000.0,47687.1
1631040000000.0,10247.86
1631040300000.0,8415.58
1631040600000.0,20612.72
1631040900000.0,12255.11
1631041500000.0,10580.31
1631042100000.0,13703.74
1631042700000.0,60510.14
1631043600000.0,13859.1
1631044200000.0,57025.98
1631044800000.0,1418.73
1631045400000.0,18788.36
1631046000000.0,24097.48
1631046600000.0,24574.58
1631046900000.0,35360.8
1631047200000.0,12403.67
1631047500000.0,34952.85
1631048100000.0,12981.47
1631048700000.0,116676.38
1631049600000.0,47911.2
1631050200000.0,16890.93
1631050800000.0,11327.88
1631051400000.0,12788.72
1631052000000.0,10890.58
1631052600000.0,11320.74
1631053200000.0,11141.25
1631053500000.0,1403.68
1631054100000.0,6721.02
1631055000000.0,32950.53
1631056200000.0,13877.71
1631057100000.0,13616.84
1631057400000.0,30325.21
1631058000000.0,10465.6
1631058600000.0,13511.73
1631058900000.0,8756.19
1631059500000.0,23063.72
1631059800000.0,12268.93
1631060400000.0,17024.22
1631061300000.0,8681.17
1631062200000.0,9572.5
1631063100000.0,5173.2
1631064000000.0,12205.22
1631065200000.0,10547.4
1631066100000.0,13568.47
1631066700000.0,1367.9
1631067600000.0,18558.95
1631068500000.0,8917.85
1631069700000.0,10759.18
1631070600000.0,88226.22
1631071200000.0,25959.58
1631071500000.0,2317.64
1631071800000.0,16362.0
1631072400000.0,13747.78
1631073300000.0,13248.53
1631074200000.0,18343.93
1631074800000.0,11896.64
1631076300000.0,44993.33
1631077200000.0,7906.17
1631077800000.0,12350.94
1631078700000.0,36962.27
1631079600000.0,9651.69
1631079900000.0,5087.32
1631080500000.0,29589.91
1631080800000.0,13324.23
1631081400000.0,69675.31
1631081700000.0,56494.96
1631082000000.0,85854.78
1631082300000.0,11943.05
1631082600000.0,21570.87
1631082900000.0,66713.55
1631083200000.0,34814.86
1631083500000.0,49988.02
1631083800000.0,14948.12
1631084100000.0,7318.81
1631084400000.0,14374.75
1631084700000.0,3632.6
1631085000000.0,16290.21
1631085600000.0,22572.8
1631086200000.0,10378.7
1631086800000.0,4545.22
1631087400000.0,38444.63
1631088000000.0,11383.82
1631088300000.0,64000.16
1631088900000.0,154945.91
1631089200000.0,27238.65
1631089500000.0,30750.13
1631089800000.0,40393.78
1631090100000.0,24992.91
1631090400000.0,33231.98
1631091000000.0,19074.72
1631091600000.0,50994.94
1631091900000.0,12035.17
1631092500000.0,11356.78
1631092800000.0,13127.81
1631093400000.0,11861.97
1631094300000.0,11126.48
1631094900000.0,30980.68
1631095500000.0,11564.41
1631096400000.0,73516.44
1631097300000.0,16079.48
1631097900000.0,32520.29
1631098500000.0,9964.07
1631099100000.0,22794.03
